Romain
Bardet
TDF2018
Stage19
60
long	lat	elev
-0.074627	42.958748	504
-0.073737	42.967278	475
-0.0779	42.974895	456
-0.084077	42.98072	447
-0.088672	42.987083	444
-0.091173	42.993645	442
-0.094647	42.998234	456
-0.100677	43.002205	462
-0.100888	43.006447	473
-0.104327	43.004726	499
-0.107022	43.002449	528
-0.108682	42.99979	555
-0.11246	42.999104	584
-0.116518	42.998081	607
-0.117792	42.99546	632
-0.121662	42.995083	658
-0.125052	42.992798	684
-0.128912	42.986736	648
-0.138157	42.982731	633
-0.143502	42.982113	659
-0.147202	42.979835	676
-0.150463	42.977417	698
-0.152115	42.974804	721
-0.153293	42.971966	743
-0.15501	42.969849	767
-0.154617	42.96806	795
-0.15626	42.965763	821
-0.157588	42.962437	842
-0.160952	42.960361	863
-0.163432	42.957081	882
-0.166623	42.953957	902
-0.168782	42.950096	921
-0.171972	42.946915	944
-0.176063	42.94445	963
-0.178295	42.939796	978
-0.179695	42.942268	1004
-0.181673	42.943832	1028
-0.182697	42.945084	1054
-0.184303	42.944603	1078
-0.18552	42.946255	1106
-0.188415	42.946331	1132
-0.191763	42.949268	1150
-0.198503	42.952858	1147
-0.203397	42.953052	1080
-0.215688	42.945541	982
-0.216288	42.950081	902
-0.215343	42.956623	884
-0.213185	42.959084	910
-0.212465	42.960628	931
-0.216333	42.960888	956
-0.220543	42.960888	975
-0.218647	42.962215	1003
-0.218128	42.963909	1027
-0.215263	42.966415	1055
-0.219333	42.966022	1086
-0.223503	42.965145	1112
-0.225877	42.967236	1137
-0.227683	42.965618	1166
-0.23082	42.964119	1192
-0.233273	42.962387	1219
-0.236867	42.963451	1245
-0.240345	42.964134	1269
-0.242428	42.963085	1295
-0.245033	42.962288	1320
-0.248133	42.960709	1345
-0.250777	42.961117	1372
-0.254027	42.961018	1397
-0.257055	42.960815	1421
-0.260963	42.960606	1447
-0.270567	42.958351	1419
-0.278318	42.955372	1377
-0.288745	42.954388	1348
-0.293145	42.958332	1356
-0.298523	42.962013	1369
-0.30264	42.964909	1381
-0.301773	42.968651	1393
-0.303262	42.971916	1412
-0.307147	42.974716	1423
-0.311192	42.976162	1448
-0.31523	42.975643	1470
-0.318308	42.973991	1493
-0.31998	42.972332	1516
